Source	Target	Weigth
I. Astala	I. Torppa	11
Edward Pohjatähti	Frans Oskar Nurmi	11
Edward Pohjatähti	Juho Kustaa Rantanen	11
Edward Pohjatähti	Wilhelm Jaakkola	11
Edward Pohjatähti	Isak Lehtinen	11
Kaarlo Gustaf	Lyydia Joki	11
Kaarlo Gustaf	Uno Akseli Tuomi	11
Ingrid Stjernvall	Sandra Koskinen	11
Abel Halme	Wilhelm Jaakkola	11
Abel Halme	Edward Pohjatähti	11
Abel Halme	Gustaf Oskar Rantala	11
Abel Halme	Johan Arthur Taimi	11
Abel Halme	Viktor Saarinen	11
Elis Himanen	Wilho Toikka	11
Georg Jägerhorn	Karl H. Turunen	11
Bruno Juselius	Paul Sola	11
Juho Hameri	Juho Snellman	11
Johan Kauppinen	Johan Nurminen	11
Johan Kauppinen	Juho Nestor Nurmi	11
Johan Kauppinen	Tuomas Piispa Ursin	11
Johan Kauppinen	Johan Urho Rantala	11
Antti Tani	Matti Pesonen	11
Armas Lindgren	Elias Linja	11
Armas Nikolai Soini	Frans Oskar Nurmi	11
Armas Nikolai Soini	August Oikarinen	11
Armas Nikolai Soini	Arthur Ferdinand Ikäheimonen	11
Armas Nikolai Soini	Kustaa Emil Aaltonen	11
Armas Nikolai Soini	Viktor Saarinen	11
Armas Nikolai Soini	Edward Pohjatähti	11
Anni Collan	Hilda Käkikoski	11
Anni Collan	Wilho Reima	11
Anni Collan	Wiljo Hytönen	11
Juho Myntti	Wilho Aaltonen	11
Juho Myntti	Oskar Antikainen	11
Ebba Masalin	John Linden	11
Juho Kaskinen	Valma Lindholm	11
Johan Urho Rantala	Tuomas Piispa Ursin	11
Johan Urho Rantala	Oskar Antikainen	11
Pertti Pairnio	Pontus Arttl	11
Ellen Tele	Karl Basilier	11
Anna Maria	Pekka Juho	11
August Oikarinen	Juho Nestor Nurmi	11
August Oikarinen	Wilho Aaltonen	11
August Oikarinen	Juho Kustaa Rantanen	11
August Oikarinen	Kustaa Emil Aaltonen	11
August Oikarinen	Edward Pohjatähti	11
August Oikarinen	Richard Lindroosin	11
Hilja Pärssinen	Otto Tiupan	11
Hilja Pärssinen	Kalle Hämäläinen	11
Anders Johan Forsman	Gustaf Oskar Rantala	11
Anders Johan Forsman	Oskar Antikainen	11
Herman Asikainen	Oskar Antikainen	11
Herman Asikainen	Kasper Renström	11
Hilja Liinamaa-Pärssinen	Lauri Lettomäki	11
Alarik Korhonen	Pekka Alpo	11
Eemeli Reuna	Vilho Wallin	11
Emil Anshelm Mäkelä	Hjalmar Nieminen	11
Emil Anshelm Mäkelä	Johan Nurminen	11
Emil Anshelm Mäkelä	Wilho Aaltonen	11
Emil Anshelm Mäkelä	Kalle Kantola	11
Emil Anshelm Mäkelä	Johan Urho Rantala	11
Jukka Pohjola	Sulo Vuolijoki	11
Johannes Linnakoski	Selma Anttila	11
